"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Total de clics","Segundos reproducidos de media","Reproducción de vídeo de 3 segundos","Reproducciones de vídeo de 60 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Otros clics","Visualizaciones de fotos","Clics en el enlace"
265055998477010,103185414664070,"Philosophical Gym Bro","Actualización de estado","This could be us",0,"02/28/2021 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid036wUMDvcC7q1QFu7YkKfedZhgrATqCYocByMsK8xzPvaboViWHMRFjL1Z6eobztVKl,0,Foto,,,,,Total,0,0,1,0,0,0,0,0,15,0,15,4,4,1,,
265077998474810,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/28/2021 17:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0vj1Syg519WgjFTGFYBZ6y746jDEJXt1ySKWvTvnF4JACSk6dKF5c5YousQR6mLF5l,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,6,0,6,4,4,,,
265146701801273,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/28/2021 20:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0uPuWibE7iZPRrG8GqRBSzhTN6EL27Fm4sw4AaEs7XN15G5s6NgFiyqdn7ybUpv9el,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,6,0,6,4,4,,,
265626961753247,103185414664070,"Philosophical Gym Bro","Actualización de estado","Undergrads before the sixth meditation hits",0,"03/01/2021 16:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02orPcGiPTAas7xftdFT1aPzb5ZA4SNtxf43bJqd7gBRBqhYbbDhXFAZ35GvFwHA1El,0,Foto,,,,,Total,0,0,0,0,0,0,0,2,25,3,30,5,5,,,
266079801707963,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/02/2021 09:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02uw2hM8RisRkDiDB4TzUb6Pkn84BVutpAzqQQiCA5rBCJowbraJq75uG5pS8PzqBtl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,20,4,24,4,4,,,
266124635036813,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/02/2021 11:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02kdCp9LmjwcY77zrt8edX6coG8v1h4gAfToTJxz7btWYhnAo24tvHvG2m6KtLbKxWl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,18,2,20,4,4,,,
266191971696746,103185414664070,"Philosophical Gym Bro",,"You kn(o)w how it be. (c)",0,"03/02/2021 14:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02c8mzWkK3mBkQDuDHJJASGFG3vdyWNw917cvvCxo8r8G6QW4Tyn83owvdhXR6qRBFl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,3,0,3,8,8,,,
266722201643723,103185414664070,"Philosophical Gym Bro","Fotos subidas con el móvil",,0,"03/03/2021 10:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02whaVoS86cMyj1LiKkUWrtdCd5guk8ERvGw7LtaK85P3j6HULS3cwCntbWSXqNTqKl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,7,0,7,4,4,,,
268077898174820,103185414664070,"Philosophical Gym Bro","Fotos de la biografía",,0,"03/05/2021 16:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02FsM7xCTdt64bBgCwt4GXJ3nGcCAF56mdpgc2CX4cUagqZ7K2CB7kTT5JofjbfM3hl,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,12,4,16,4,4,,,
268547258127884,103185414664070,"Philosophical Gym Bro","Actualización de estado","Freudmin circa 2018",0,"03/06/2021 10:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Tj3VUQ2TpjXSqsCqSQpKXCAzBuPSp5kkoH2HmuME5EaVUn1FAX6VLXruUayYL9Aml,0,Foto,,,,,Total,0,0,0,0,0,0,0,0,4,0,4,5,5,,,
