"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,Comentarios,"Me gusta","Veces compartido",Interacciones,"Visualizaciones de fotos","Otros clics","Clics en el enlace","Segundos reproducidos de media","Total de clics","Personas alcanzadas","Tiempo medio dedicado al artículo","Segundos reproducidos","Reproducción de vídeo de 3 segundos","Profundidad de desplazamiento diaria en el artículo","Reproducciones de vídeo de 60 segundos","Comentarios negativos únicos de los usuarios: Ocultar"
427022898946985,103185414664070,"Philosophical Gym Bro",,,0,"11/14/2021 18:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0yKAxLLq7evQowMEU6ukQ2eE9yoHn3EQqGupG3HePMhqngMyJVwPkpKGfpBEbnF3Gl,0,Foto,,,,,Total,948,0,43,6,49,29,14,,0,43,914,0,0,0,0,0,
427027755613166,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/14/2021 19:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid037iMhZDoZgNTxP4JTCTVN27jUSeEnUQ3X95zsrQBf2g1WtMzjzhFDjm2VdPskhZb6l,0,Foto,,,,,Total,516,0,9,0,9,31,25,,0,56,498,0,0,0,0,0,
427058892276719,103185414664070,"Philosophical Gym Bro","Actualización de estado","This page",0,"11/14/2021 20:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02euru6dU1mGZmYmcxBhZBvXGMGGAhbW2AdVc9xB5pZbeR1AWFshcjxXRDUGDcjr4l,0,Foto,,,,,Total,590,2,16,1,19,15,29,,0,44,579,0,0,0,0,0,
427631202219488,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/15/2021 19:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02y3zSex2HBP7CcVcN9REMdAHjEJruNVShwqyeLGd69AhDzMFJnH696QXtHSLgSezul,0,Foto,,,,,Total,620,0,21,1,22,6,15,,0,21,603,0,0,0,0,0,
427669508882324,103185414664070,"Philosophical Gym Bro","Fotos de la biografía","Um excuse me sweetie, but you forgot ""lift heavy rock""",0,"11/15/2021 21:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0PRpwP8cviYwGrkGqFQnCvAYdoEyXVBY8EoM7s2xTqgQcScrVsq6Xqh3nJfs4b659l,0,Foto,,,,,Total,1056,3,53,5,61,19,50,,0,69,1024,0,0,0,0,0,
428019682180640,103185414664070,"Philosophical Gym Bro",,,0,"11/16/2021 10:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid032a737jd4JS81W78ePowvNNsUWbUY66oWa9VTntaKocLkLxkFj5QCsVQZ3ysAeVygl,0,Foto,,,,,Total,789,0,26,1,27,5,8,,0,13,775,0,0,0,0,0,
428621948787080,103185414664070,"Philosophical Gym Bro",,"Quick OC",0,"11/17/2021 10:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0HUWExJ9ZDJPXwkn8QiiFtXFXWRHWcW8LUFAX9ihYREHY6wnKnQKHXq37fiQ3apfal,0,Foto,,,,,Total,417,0,15,1,16,2,5,,0,7,391,0,0,0,0,0,
429827468666528,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"11/19/2021 09:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0Y2GAW7EKnxkkujaSu1s9JVVRwAVRrtsSr6Zj8BRXmvksJVR7Za7oGoaqUBoTmsQql,0,Foto,,,,,Total,1089,1,14,0,15,38,56,,0,94,1068,0,0,0,0,0,
429988058650469,103185414664070,"Philosophical Gym Bro",,"OC
I think I'm hilarious",0,"11/19/2021 16:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid05Q972b2saWx9wmuxRZ4X7g2jhrRvCDKDJ1yTbX5p5zNr6nmioAKNtf7JWLXyjBF1l,0,Foto,,,,,Total,403,0,8,1,9,1,3,,0,4,383,0,0,0,0,0,
430014971981111,103185414664070,"Philosophical Gym Bro",,OC,0,"11/19/2021 17:11",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ZifENizCfW43HnXgXof9h7BgWRnWndJoaZX61AnXJqEVgvarznaPcDkcPk7aff9dl,0,Foto,,,,,Total,1401,3,63,8,74,32,22,,0,54,1392,0,0,0,0,0,
