"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Personas alcanzadas",Interacciones,"Veces compartido","Me gusta",Comentarios,"Segundos reproducidos","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos de media","Total de clics","Otros clics","Visualizaciones de fotos","Clics en el enlace","Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo","Comentarios negativos únicos de los usuarios: Ocultar todo"
629681119160441,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/25/2023 20:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Q1afLUNEnLzttKqy2ebwa1LSe4TTnccdHDLdJ6RBxF5ztiRa8UUv4pTHMSDkJeT5l,0,Foto,,,,,Total,1246,1218,27,2,24,1,0,0,0,0,57,37,20,,0,0,
629951242466762,103185414664070,"Philosophical Gym Bro",,OC,0,"01/26/2023 05:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0275ZcHcWbCfEMi5Pf2yf2tLbUErDYjCiE6HJJYw2yKuZ1Tgn2FCbasQEmtkjNTZWfl,0,Foto,,,,,Total,6060,5703,129,18,108,3,0,0,0,0,297,191,106,,0,0,1
630159745779245,103185414664070,"Philosophical Gym Bro","Actualización de estado","Absolutely recessive",0,"01/26/2023 09:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02MqDyzkVtpWRMEwJ94jEzj2XLoGMXesNXto84yZPseL3tsYMeEDAW5DZuzvuZZAhml,0,Foto,,,,,Total,3034,2954,143,10,131,2,0,0,0,0,210,104,106,,0,0,
630490689079484,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/26/2023 20:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0VRzo2hsMJzUZPhJa7kfvxQYZw3ehKvA9SAEWvEEN5Uwm9NnPY7FKndtHLZwAQNJBl,0,Foto,,,,,Total,1856,1818,34,4,30,0,0,0,0,0,235,217,18,,0,0,
630890189039534,103185414664070,"Philosophical Gym Bro",,"Shamelessly stolen",0,"01/27/2023 07:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02P1hX1piauZ3ovMq7AYALnNo64nMMfiyVuLuBBYx1FU2CbJj3cH51KZzPX6g88rBwl,0,Foto,,,,,Total,2772,2605,120,14,106,0,0,0,0,0,243,47,196,,0,0,
630917945703425,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/27/2023 08:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Q9zNNqqnRd8vMMTawhmgpJr9jWNesC3MguZ6FUfBMqjBbkr3tZrdAGc8yeoTRbPml,0,Foto,,,,,Total,1328,1269,24,2,19,3,0,0,0,0,44,22,22,,0,0,
631635308965022,103185414664070,"Philosophical Gym Bro",,OC,0,"01/28/2023 06:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02NyWqMmd6LWkPr8TMaTSQVGS9ogiGrcKQp9fbWdMKXkiek7SNFomU2vSkg3vxfo9fl,0,Foto,,,,,Total,1329,1260,16,3,12,1,0,0,0,0,36,15,21,,0,0,
631970462264840,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/28/2023 16:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02TqVhm4MBPTbBEcZGxgf6y5VHto2HrHFf6ZQHpgAqdKwqHZdNGkjBtxjmH5SExf1Vl,0,Foto,,,,,Total,4220,4082,162,23,134,5,0,0,0,0,499,275,224,,0,0,
632523605542859,103185414664070,"Philosophical Gym Bro","G.W.F. Hegel's Dialectic Depository for Spiritually Elevated Teens 🦉",,0,"01/29/2023 09:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02vsXx4xqGvC8M3wzkTFxXRXVQpudzejcUTQ77T8t8Ee5YctJXQkPm517XP6tgbRvDl,0,Otro,,,,,Total,1985,1982,35,5,30,0,0,0,0,0,113,72,41,,0,0,
632614722200414,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"01/29/2023 12:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02NmHQV56LMpt68LiarKHHSfaAZyz4LuFMpKuG6UJJFGJD1xdQR97WWpS6FF1xYVhVl,0,Foto,,,,,Total,1962,1917,51,2,46,3,0,0,0,0,79,49,30,,0,0,
633105052151381,103185414664070,"Philosophical Gym Bro",,OC,0,"01/30/2023 05:01",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0yjRe23B6YdiYW8iigsZ4VRQZukyfHL44UaJwyoishBRcoQRzoqYUx7b3cSEftdaHl,0,Foto,,,,,Total,14487,14334,438,67,364,7,0,0,0,0,475,187,274,14,0,0,
