"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Profundidad de desplazamiento diaria en el artículo","Tiempo medio dedicado al artículo","Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Segundos reproducidos de media","Reproducciones de vídeo de 60 segundos","Reproducción de vídeo de 3 segundos","Segundos reproducidos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Personas alcanzadas",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
488578592791415,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/24/2022 07:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02AiyUpPtjkDDU2hR5hP2c5qNFcNthxByUT4SNyM6Qvn91iZmDLENYetCJf8D9TSeql,0,Foto,,,,,Total,0,0,28,11,,39,0,0,0,0,0,21,3,24,879,951,,
488781929437748,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/24/2022 14:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02aFLUCKo9sFsRomEqrupnFTvuaNviPnXAiWCKQgKBDdbH1md3WyKqkKJFwyGDnaA4l,0,Foto,,,,,Total,0,0,38,32,,70,0,0,0,0,4,27,2,33,1100,1172,,
488813276101280,103185414664070,"Philosophical Gym Bro",,"Dang, there were other forms of power than money?",0,"02/24/2022 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02mmV2CFGKdeZ1qbem3MjSyDemsm6zXAqB9yofJfM9FFY9oMo35odu8WHHb4WYsHdAl,0,Foto,,,,,Total,0,0,117,240,,357,0,0,0,0,4,33,5,42,2085,2251,,
489589152690359,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/25/2022 23:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0KCK26Bhr5HyCLYfcWDNoA6rMu6nP14RPzgT1nfZmTbSc9FV5VVGyvyjxTKLt4mubl,0,Foto,,,,,Total,0,0,314,295,,609,0,0,0,0,2,51,2,55,2006,2121,,
490035142645760,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/26/2022 13:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Y8aqvXUUNxdX7s7YopeUKQvapxxJRZ6qG2x3n9pbrdaLk3eNKZRxMf2cm5zMm5jdl,0,Foto,,,,,Total,0,0,67,35,,102,0,0,0,0,0,43,9,52,1432,1504,,
490716542577620,103185414664070,"Philosophical Gym Bro",,oC,0,"02/27/2022 16:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0BWBtmXFbXCy33D56i7fsByrvnKs4d5nRbKWRMy9ChnhugqrpGRmUa1t3arP2XAnZl,0,Foto,,,,,Total,0,0,22,18,,40,0,0,0,0,0,43,8,51,1852,1933,,
490757342573540,103185414664070,"Philosophical Gym Bro","Wild Green Memes for Ecological Fiends",,0,"02/27/2022 18:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02YcyjTDhskoeBUHk4MzfjW53xhRwvo9ETMGEeGgyidcoTn4YxXdFybKCBn1epPQSFl,0,Otro,,,,,Total,0,0,10,36,,46,0,0,0,0,0,23,3,26,1673,1743,,
490783675904240,103185414664070,"Philosophical Gym Bro","Actualización de estado","We want justice",0,"02/27/2022 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02QGJcZnC5eojpPs2Nmv7LFczAiXWFWePfb8djZURZhTteFKi4XmnjD9JrNvoEUBZTl,0,Foto,,,,,Total,0,0,27,10,,37,0,0,0,0,6,39,5,50,1351,1461,,
490818562567418,103185414664070,"Philosophical Gym Bro","Actualización de estado","Someone has been plagiarizing me",0,"02/27/2022 20:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02UGV4yR7qXP7gmMATPPh48uZ8KvGngJSJEENQdGVgEMFWDZq3eP8qJu1nn8cXbm6sl,0,Foto,,,,,Total,0,0,66,63,,129,0,0,0,0,1,19,1,21,1840,1959,,
491251602524114,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/28/2022 10:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02KZH9Z7MWj8DMNvQ47JgBEBSqkoA9cgTn5PUYhNsEzMRx2mEz6V62dU8i66CC5KThl,0,Texto,,,,,Total,0,0,243,,,243,0,0,0,0,12,37,7,56,2009,2051,,
491333909182550,103185414664070,"Philosophical Gym Bro",,"Blatantly stolen",0,"02/28/2022 14:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02gSXcEu7uGz1Jc5DNMT6mMxVqTFpxM6qMaxGdrTmxAmyybU4KXY3Yex94zyWLnrNnl,0,Foto,,,,,Total,0,0,52,27,,79,0,0,0,0,12,51,8,71,2246,2430,,
491434475839160,103185414664070,"Philosophical Gym Bro","Fotos de la biografía","Body with too many organs",0,"02/28/2022 18:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02wZhnvj9hwSvRCQqNFWfz7Xwq6BgKYHckGViiYK5f7drjfGw1vUz2vk5xQm2AAiv9l,0,Foto,,,,,Total,0,0,32,7,,39,0,0,0,0,1,15,0,16,1028,1032,,
491457909170150,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"02/28/2022 19:02",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0QRv5iqWQnHnYeJHGG7nqdnU1uQWwqDoQYH7yKYbVaJ5P2jivMoiAusyyz2uq7Qecl,0,Foto,,,,,Total,0,0,12,7,,19,0,0,0,0,0,29,2,31,1074,1101,,
492606642388610,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/02/2022 14:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0M1NXnPQ91F4h24jZYDQeX1SaTsRtsqopZpHDHYj1vGJ2uA7KkQ4v815V6RYiFEgKl,0,Foto,,,,,Total,0,0,124,54,,178,0,0,0,0,0,140,27,167,2282,2416,,
492770609038880,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/02/2022 21:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02vGTYB68zHu8wpjpRcmBXM2q7FjdCyZXBijQf2txMouYyuVP3oxHhWR5MRjzVJDwMl,0,Foto,,,,,Total,0,0,49,29,,78,0,0,0,0,0,38,5,43,1584,1605,,
492777095704898,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/02/2022 21:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0SKtcCvXTeXNKNjUiAd3YJe8xu1yYuSU5QkoWDd8zDc1Ssz6wUiAXkC3pr63wXsDXl,0,Foto,,,,,Total,0,0,56,43,,99,0,0,0,0,0,61,12,73,1556,1590,,
492783785704229,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/02/2022 21:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid027PTJVGW6g5kxbv8zTHr58d4nw6sDawip9pMLT4bBQanr7GMEYQpJzZZPS4iBk1Rdl,0,Foto,,,,,Total,0,0,59,73,,132,0,0,0,0,3,98,12,113,1617,1662,,
493164362332838,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/03/2022 12:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02FuxVpwwcLAFVoKvwWdq9UZ21NSVKauuEBrANKpEqh2pnMnVsQiwruezxM5t9SjqHl,0,Foto,,,,,Total,0,0,43,10,,53,0,0,0,0,1,33,3,37,1126,1128,,
493296788986262,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/03/2022 18:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0ArBbYzc2SySCR7S6qjKSMXYpJ1gE8vMidtVeEcjH4zTwKwMEkEqXSofFAdZuQopxl,0,Foto,,,,,Total,0,0,48,30,,78,0,0,0,0,1,52,11,64,1326,1389,,
493330588982882,103185414664070,"Philosophical Gym Bro",,OC,0,"03/03/2022 20:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02FGPY9EK8yKqAeeLDFsnptgVnLG7RukfBaUJPAToVba5sQQa9Zwyuqj4Bs7TUK6xul,0,Foto,,,,,Total,0,0,16,14,,30,0,0,0,0,2,30,2,34,1518,1571,,
493361678979773,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/03/2022 21:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ayGmkuyWXFd85YytTJqFTUdk73w6K1kWysD6svhma3eR33TUZ8rTyyw5GL2AvcFXl,0,Foto,,,,,Total,0,0,11,5,,16,0,0,0,0,1,19,0,20,1238,1288,,
493762708939670,103185414664070,"Philosophical Gym Bro","Sigmund Freud's Dank Meme Stash 2: Daddy's Return",,0,"03/04/2022 12:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0YBRZunMg7GZ3sUMj3RZMCni7tZ66uRgCxHh89fueaoxoiZD7eL5DjGaw81WTN57Fl,0,Otro,,,,,Total,0,0,16,12,,28,0,0,0,0,0,6,0,6,855,871,,
493889545593653,103185414664070,"Philosophical Gym Bro",,,0,"03/04/2022 18:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0rH3TUrkiWQWgmuP6PPAfX6HQnezU3AkAW4uU2gdtM8A13qaQ7UKmiBU5NkYvYha8l,0,Foto,,,,,Total,0,0,95,36,,131,0,0,0,0,27,129,18,174,2875,3038,,
493966458919295,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/04/2022 20:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid03jNNYuhwDPrt94ALauB8njocjiz2ZvQHUa42pSQVqH95Q3YrMAeJxeZy1K2SJSipl,0,Foto,,,,,Total,0,0,67,30,,97,0,0,0,0,0,78,9,87,1196,1224,,
494025058913435,103185414664070,"Philosophical Gym Bro","Actualización de estado",microplastique,0,"03/04/2022 22:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid033YfW6bwhNNX4yQYqo52TNqFWZWiPG33f61mGNkmBCmoXNZLTLbfGCQfAQFK4f7nhl,0,Foto,,,,,Total,0,0,37,36,,73,0,0,0,0,0,75,14,89,1815,1861,,
494331662216108,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/05/2022 10:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02o5VbC4vMwK2qhREwqXLhZYsaXtXUy5R8UxaBDF83ZDott8yqmYptYGstZP2JurXrl,0,Foto,,,,,Total,0,0,36,22,,58,0,0,0,0,0,28,1,29,1245,1287,,
494367035545904,103185414664070,"Philosophical Gym Bro",,"Simulation theory is just neo-neo-platonism, change my mind",0,"03/05/2022 11:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0z5cKpiNmg5iydBSz8o6CPdL6TC2HCcniM4dgHuD3STLzmm4sAinMTtkhX1kmcvYLl,0,Foto,,,,,Total,0,0,142,67,,209,0,0,0,0,13,130,22,165,3269,3402,,1
494415152207759,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/05/2022 13:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ZzGKw819uqN1hAbzCuuzJMzcxzQzdiWpKxfPPakJfudmp1uL5eNHAYpgexf4xmnol,0,Foto,,,,,Total,0,0,134,41,,175,0,0,0,0,1,72,9,82,1897,1937,,
494812532168021,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"03/06/2022 01:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0FLsGsXWxdS1WtZnEHVSLWUJyBPUaLKkNWmBoQogEcNdXfLS8CVM9TCDfKhPhV9G8l,0,Foto,,,,,Total,0,0,44,33,,77,0,0,0,0,0,84,12,96,1915,1934,,
495284142120860,103185414664070,"Philosophical Gym Bro",,"Stolen from somewhere",0,"03/06/2022 20:03",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid076JtrfueMVNijVucDzFSqfWPEvUqbLER2SEh9dN4jpZp6a3vbFUEsjymZpLEWtuJl,0,Foto,,,,,Total,0,0,110,48,1,159,0,0,0,0,4,140,30,174,3428,3663,,
