"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,"Otros clics","Visualizaciones de fotos","Clics en el enlace","Total de clics","Personas alcanzadas","Segundos reproducidos","Comentarios negativos únicos de los usuarios: Ocultar","Reproducciones de vídeo de 60 segundos","Segundos reproducidos de media","Reproducción de vídeo de 3 segundos",Comentarios,"Me gusta","Veces compartido",Interacciones,"Tiempo medio dedicado al artículo","Profundidad de desplazamiento diaria en el artículo",Impresiones,"Comentarios negativos únicos de los usuarios: Ocultar todo"
366318211684121,103185414664070,"Philosophical Gym Bro",,,0,"08/11/2021 14:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid04vjFNxEYPys43v6JXCchLTmX6uzrfFs3nHiu2T1d8JuNhkpswnPoZmU9NRyzy8cJl,0,Foto,,,,,Total,25,3,,28,809,0,1,0,0,0,1,35,4,40,0,0,823,
366492161666726,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/11/2021 21:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02tGpH6aWGyg4g8JkZBKYYQibhPRvcpRaHKhL71BFfvktBYdDoQMNkZkfj2aRTpFeyl,0,Foto,,,,,Total,9,1,,10,302,0,,0,0,0,0,13,0,13,0,0,322,
363218101994132,103185414664070,"Philosophical Gym Bro",,"A general introduction to psychoanalysis O.C.",0,"08/12/2021 10:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid037EqV69cMjPYVPQFafRQLtPkyHZFLQhspKeobZVGVebFPFVRQpfPbCMYZ49PD8wJbl,0,Foto,,,,,Total,60,13,,73,1823,0,1,0,0,0,2,47,4,53,0,0,1837,
366956994953576,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/12/2021 14:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid029fwK9DdLcn7erCzrFjhm8URP1rMAQXcsZtjdrr9vLsTgjfhA8TH5aMtqzDDmtdbxl,0,Foto,,,,,Total,154,58,,212,1267,0,1,0,0,0,4,92,14,110,0,0,1317,
367001991615743,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/12/2021 17:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid025EJy78CzbKiAe4p7SwEu5EopPdqDjGbRc9uQyx5k4gCFbdSN4heLHT6FukjgZB1nl,0,Foto,,,,,Total,52,22,,74,936,0,1,0,0,0,1,30,6,37,0,0,961,
367472021568740,103185414664070,"Philosophical Gym Bro","Fotos subidas con el móvil",,0,"08/13/2021 09:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0FYM2pA31n46CvH3YwcTH1rCDG2FYxquAmagoNBTVRJW9WxRQ6raTiy6dDPr3hqM7l,0,Foto,,,,,Total,63,7,,70,797,0,1,0,0,0,2,35,0,37,0,0,808,
363219311994011,103185414664070,"Philosophical Gym Bro",,"More Autobiographical O.C.",0,"08/13/2021 15:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0tBgf1Wa8cbYU4xK4LEui6SqhtgzeVJDLBi8LZ9vGLEAXx7CTYjPpMj4XtYsmEuCel,0,Foto,,,,,Total,47,17,,64,2369,0,2,0,0,0,2,70,6,78,0,0,2455,
368219098160699,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"08/14/2021 12:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0mtbSrkrTEjNiUfwCBc2yQTPvw1ivVUypoJjPnEU9qPfWeFQFYDdKujwQd5J5goJXl,0,Foto,,,,,Total,17,3,,20,312,0,,0,0,0,0,13,1,14,0,0,331,
368260991489843,103185414664070,"Philosophical Gym Bro",,"Fan Submission.",0,"08/14/2021 13:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0gF5DpxQM4K4viAvcyugqHRc4UBA875AbP6cQ1yvmh5AAzdqRmDgTCmJD4CaZHX4Xl,0,Foto,,,,,Total,37,25,,62,1173,0,,0,0,0,6,128,13,147,0,0,1235,
363223018660307,103185414664070,"Philosophical Gym Bro",,"THEY NEEDED TO KNOW.",0,"08/14/2021 16:08",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid032iBmSjUP13HwNGGerad7Sx2ZeAvc4D1vkk83tw1nXBNbYViz1AuEKXQiptGDH2FDl,0,Foto,,,,,Total,4,3,,7,738,0,1,0,0,0,0,33,4,37,0,0,756,
