"identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Se usa en varias publicaciones","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado ""Contenido financiado""",Comentario,Fecha,Impresiones,"Reproducciones de vídeo de 60 segundos","Segundos reproducidos","Segundos reproducidos de media",Comentarios,"Me gusta","Veces compartido",Interacciones,"Reproducción de vídeo de 3 segundos","Tiempo medio dedicado al artículo","Total de clics","Personas alcanzadas","Otros clics","Visualizaciones de fotos","Profundidad de desplazamiento diaria en el artículo","Clics en el enlace","Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ocultar todo"
306659820983294,103185414664070,"Philosophical Gym Bro","Fotos de Philosopher Games",,0,"05/07/2021 08:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02phkgjZAgdLDZRVr9ReaEcrm6Jx8cTkSpvQ4W7ymUkJNwA13oU8KJFJnNXGfiqT3ql,0,Foto,,,,,Total,603,0,0,0,1,34,3,38,0,0,51,592,38,13,0,,,
306856017630341,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/07/2021 16:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02t43BJsCeMiyztXFsUMsmgBjMF8F1AW7mb3H9gD6AnMZnEZa1tkMYtBRotct6kNuCl,0,Foto,,,,,Total,560,0,0,0,0,17,2,19,0,0,60,559,51,9,0,,,
306975267618416,103185414664070,"Philosophical Gym Bro","Fotos de la biografía","Me after finals

Also philosophy departments in general in the past 100 years",0,"05/07/2021 20:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0CDNXQ3RFM9iuAL5a1BdoeGKgWg9uinvGQ5MLRHRGZtjhEtFkCCYH1reHPfkmNkDxl,0,Foto,,,,,Total,451,0,0,0,0,15,2,17,0,0,19,445,10,9,0,,,
308202060829070,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/09/2021 17:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0TiAssztRq6hhvjVMMQEQPCg6XqrSByjm5r2CkD3GuNTDg2xG2u5rPfDKkBhdq4Pjl,0,Foto,,,,,Total,433,0,0,0,0,22,1,23,0,0,12,419,6,6,0,,,
308290940820182,103185414664070,"Philosophical Gym Bro",,"""Oh yeah, being schizophrenic is definitely the best that you can be- super revolutionaries- and not people caught in a hellishly broken mind. ""
O.C.",0,"05/10/2021 08:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0tBnzPiKuYRxfu1CbCXx6bCdjBJcKo6bB6cgHeWg7MoDHRPa1s84pu7wm7R7LQ429l,0,Foto,,,,,Total,9260,0,0,0,49,99,6,154,0,0,782,9260,702,80,0,,,
308687054113904,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/10/2021 11:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0kZ4B4rzU6TLEHoLvzLA2qWy6PtMD2XWApYGBU1vvkfKUk1n8VEXzCgcj5Bdgn5j5l,0,Foto,,,,,Total,527,0,0,0,1,23,1,25,0,0,32,515,18,14,0,,,
309281597387783,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/11/2021 12:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid027fjjqab8q5EXY4u6aucUyqDch2xtjrytuwmUxEk2UUhG1uTZRMEschFC71c6VtjRl,0,Foto,,,,,Total,433,0,0,0,0,9,0,9,0,0,21,422,6,15,0,,,
309357034046906,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/11/2021 15:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02zsvbyY7fhWNpFeaVT7x85HAKBFm3bVRwGiLwkaeJWnkMyTCN6de8tHZywJSdMpRhl,0,Foto,,,,,Total,623,0,0,0,1,48,4,53,0,0,68,613,39,29,0,,,
309004814082128,103185414664070,"Philosophical Gym Bro",,OC,0,"05/11/2021 17:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02Xp2hbRSWDyhEKFcCbNZGB2wdA68W3PK2YaQWa8V2SiJkBMwD4EQdQEa9gB7gJkg6l,0,Foto,,,,,Total,1399,0,0,0,1,51,4,56,0,0,39,1339,8,31,0,,,
308291404153469,103185414664070,"Philosophical Gym Bro",,"Y'all need to read more theory.
O.C.",0,"05/12/2021 08:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02DLgJr1rK5eb2fsQcD1s3idfxU8njVDXCz4Ad8CUaFBFcH2KgcLxpenYAeLSihPonl,0,Foto,,,,,Total,1120,0,0,0,9,41,4,54,0,0,91,1018,40,51,0,,,
308291840820092,103185414664070,"Philosophical Gym Bro",,"He's right, BTW.
O.C.",0,"05/13/2021 08:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02wrKFrt9Aihju9tNyh1KpSBha8RXiDnygFdt9xdtkqPuP6rmUfVvaYWc3LA3vfoWSl,0,Foto,,,,,Total,1371,0,0,0,1,41,7,49,0,0,99,1358,13,86,0,,,
310466253935984,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/13/2021 11:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0N7VLoU4TnUK7uxugwFCVxZsnNuHxc4HYZNz5UXTyMPptYo8hnJKZ8jzTKciQHKg1l,0,Foto,,,,,Total,467,0,0,0,0,7,1,8,0,0,31,461,17,14,0,,,
310753890573887,103185414664070,"Philosophical Gym Bro",,"Some of these people 👨‍🎓👩‍🎓👨‍🏫👩‍⚖👨‍💼👩‍🍳haven't stared themselves in the mirror 👁👄👁while thinking 💬""Holy crap😱 I can't 👎prove🧐 I'm not just a brain🧠 in a jar🍸"" and it shows. 
😗💅💅",0,"05/13/2021 23:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0hJn37Tq1aoU2M5tfU9AFzzL3pQ4c4tSPiJWxTcC56fBme8VUdK3cewhJUDvCTsJhl,0,Texto,,,,,Total,191,0,0,0,0,2,0,2,0,0,0,174,,,0,,,
309446300704646,103185414664070,"Philosophical Gym Bro",,OC,0,"05/14/2021 17:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid026MwpAvoYYSG7VYeFii1AvUzHcgQ38NtAndWM32boyrfS2FwTjWVMqJQnrbt6jxpTl,0,Foto,,,,,Total,485,0,0,0,0,18,3,21,0,0,8,456,5,3,0,,,
311412630508013,103185414664070,"Philosophical Gym Bro","Fotos de la biografía",,0,"05/15/2021 01:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0S8eq6ARHrUtwvav2uZ3s84VGRgxWtdwpKBz4RvDGgBFHw7urWEcdzG6z1TDd7F4wl,0,Foto,,,,,Total,652,0,0,0,3,22,5,30,0,0,78,645,48,28,0,2,,
311649467150996,103185414664070,"Philosophical Gym Bro",,"Thanks Lobster Jung. 
O.C.",0,"05/15/2021 09:05",N/A,https://www.facebook.com/GymKingSadBoi/photos/a.103875024595109/311649467150996/?type=3,0,Foto,,,,,Total,2254,0,0,0,22,155,20,197,0,0,340,2234,309,31,0,,,
312025723780037,103185414664070,"Philosophical Gym Bro","Fotos de portada",,0,"05/16/2021 01:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02ccxDH32uHGLqRubUFMxFD66fuhhBHysaPdiLbFoZHeP76KfHVJnMCSE4RrsZqUXil,0,Foto,,,,,Total,458,0,0,0,0,30,3,33,0,0,10,454,6,4,0,,,
313314946984448,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/18/2021 02:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02DdH72pa4C5JnvRMZFKKYE5RKr7aonXVFrpKSam6Z36hkNsd5TYgiqR24myK4bocbl,0,Foto,,,,,Total,276,0,0,0,0,5,0,5,0,0,10,263,3,7,0,,,
313765790272697,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/18/2021 20:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02aF8UBGZKgE2C7dNnfGRLXxKBWcRgxa4KpYaLT39bQr1npCfEtMfwv3DTQeLH9Wmbl,0,Foto,,,,,Total,620,0,0,0,0,40,3,43,0,0,58,603,32,26,0,,,
314380296877913,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/19/2021 20:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid021TZcnR7WuXceRCRmqwj7nj7ozwbkZjHpYgBMwNpcxFM2FsaZJbyY9vDzvc7A8fJXl,0,Foto,,,,,Total,271,0,0,0,1,16,1,18,0,0,21,257,14,7,0,,,
314732723509337,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/20/2021 10:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid02DxHH5KXwZoHgmriVujEdhjksb5M3LrN8mjgJrg6vt1tDDyyQGdMrEjj9XnGohx2Ul,0,Foto,,,,,Total,576,0,0,0,0,28,2,30,0,0,30,563,20,10,0,,,
314733146842628,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/20/2021 10:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid022tzup26ELmiy9uwt2WffCtAAQ389Pp2jYFuBcPEexm3bQP8w251w3ZsTCTXL2zabl,0,Foto,,,,,Total,419,0,0,0,0,12,3,15,0,0,33,414,16,17,0,,,
314865346829408,103185414664070,"Philosophical Gym Bro","Memeorological Society",,0,"05/20/2021 16:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid049jYEDeJ4viU6jHRBW6rMSZPqz8MNYGgxWv3xzngfkeeiix27dCAzcocPtXJYNS3l,0,Otro,,,,,Total,613,0,0,0,0,26,4,30,0,0,34,605,14,20,0,,,
314899176826025,103185414664070,"Philosophical Gym Bro",,"Ethics according to Gymmin.",0,"05/20/2021 17:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0W39w2VjsHx9kRC6jsK7DGqRcam4GXeLVUxoDDYP3ME1vUn2Xg72S4EcZ1fqbhtq6l,0,Foto,,,,,Total,598,0,0,0,2,17,5,24,0,0,34,589,28,6,0,,,
315334026782540,103185414664070,"Philosophical Gym Bro","Actualización de estado",,0,"05/21/2021 09:05",N/A,https://www.facebook.com/GymKingSadBoi/posts/pfbid0oLaTfqtEzRYZUTFLqSh96WQ8V9pMjPbnVj8ewLsyFd3zdAADHZBTye1zsz1LtrPZl,0,Foto,,,,,Total,507,0,0,0,3,13,1,17,0,0,59,490,41,18,0,,,
